manufacturer_name,city,state,country,lat,long
EV West,San Marcos,California,United States,33.1447,117.1658
Samsung,Seoul,,South Korea,37.5665,126.978
Tesla,Palo Alto,California,United States,37.4419,122.143
RinconPower,Oceanside,California,United States,33.1959,117.3795
Elcon,Lod,,Israel,32.0036,34.8882
Manzanita,Richmond Hill,Ontario,Canada, 43.8828,79.4403
DilithiumBMS,,,,,
Chennic,Shenzhen,,China,22.5431,114.0579
Modular EV,Pryor,Oklahoma,United States,35.0078,97.0929
QuickChargePower,Victoria,British Columbia,Canada,48.4284,123.3656
HPEVS,Round Rock,Texas,United States,30.5083, 97.6789
Curtis,Mount Kisco,New York,United States,41.2000, 73.7300
RinehartMotionSystems,Wilsonville,Oregon,United States,43.8041,120.5542
NetGainMotors,Georgetown,Indiana,United States,38.2709,85.9352
Deltec,Batavia,Ohio,United States,40.4173,82.9071
AEM,Hawthorne,California,United States,33.9164,118.3526
TBSElectronics,Mississauga,Ontario,Canada, 43.5890,79.6441
Canadian EV,Delta,British Columbia,Canada,49.0890,123.0824
MSD Ignition,El Paso,Texas,United States,31.7619,106.4850
SSBC,Clarence,New York,United States,42.9943,78.7170
AM Racing,Cedar Park,Texas,United States,30.4960,97.8179
Tyco Kilovac,Menlo Park,California,United States,37.4585,122.1606
EmproShunts,Indianapolis,Indiana,United States,,
Smart,Stuttgart,,Germany,48.7758,9.1829
Behr,Stuttgart,,Germany,48.7361,9.1440